ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
BGDrl1996,Bangladesh,BGD,South Asia,Lower middle income,1996,rl,6,-0.9202554,0.20834,-1.261933,-0.5785777999999999,41.1264677,3.5856779,35.2459559,47.0069795,..,..,..,..,..,..,..,..,..,0.27499999999999997,..,..,..,..,..,..,..,0.3,..,0.5,..,..,..,..,..,..,..,0.5,..,..,0.437,..,..,..,0.3125
BGRrl1996,Bulgaria,BGR,Europe & Central Asia,High income,1996,rl,7,-0.1951306,0.20052,-0.5239834,0.13372219999999999,53.6063755,3.4510902,47.9465875,59.2661635,..,..,..,..,..,..,..,..,..,0.35,..,..,0.4583333,..,..,..,..,0.5,..,0.5,..,..,..,..,..,..,..,0.8333332999999999,..,..,0.867,..,..,..,0.4375
BHRrl1996,Bahrain,BHR,Middle East & North Africa,High income,1996,rl,5,0.1249887,0.2140899,-0.22611869999999998,0.47609609999999997,59.1158538,3.6846373999999997,53.0730485,65.1586591,..,..,..,..,..,..,..,..,..,0.35,..,..,..,..,..,..,..,0.6,..,0.5,..,..,..,..,..,..,..,0.8333332999999999,..,..,..,..,..,..,0.8125
BHSrl1996,"Bahamas, The",BHS,Latin America & Caribbean,High income,1996,rl,4,1.2490705,0.2842523,0.7828967,1.7152443,78.4620922,4.8921823,70.4389132,86.48527109999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8999999999999999,..,1,..,..,..,..,..,..,..,0.6666667,..,..,..,..,..,..,0.875
BIHrl1996,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1996,rl,3,-0.3076488,0.25895419999999997,-0.7323337,0.11703609999999999,51.6698582,4.4567841,44.360732299999995,58.978984,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.359,..,..,..,0.4375
BLRrl1996,Belarus,BLR,Europe & Central Asia,Upper middle income,1996,rl,5,-0.5074489999999999,0.2765858,-0.9610497,-0.053848299999999995,48.2311562,4.760236,40.4243691,56.037943299999995,..,..,..,..,..,..,..,..,..,..,..,..,0.1666667,..,..,..,..,0.5,..,0,..,..,..,..,..,..,..,..,..,..,0.376,..,..,..,0.5625
BLZrl1996,Belize,BLZ,Latin America & Caribbean,Upper middle income,1996,rl,3,0.3842312,0.3159268,-0.1338888,0.9023511999999999,63.5775996,5.4373229,54.66039,72.49480919999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5625
BMUrl1996,Bermuda,BMU,North America,High income,1996,rl,1,1.0623179999999999,0.4850462,0.2668422,1.8577937999999998,75.2479503,8.3479866,61.557252299999995,88.9386483,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875
BOLrl1996,Bolivia,BOL,Latin America & Caribbean,Lower middle income,1996,rl,7,-0.304672,0.2062812,-0.6429732,0.0336292,51.721090999999994,3.5502449,45.898689399999995,57.5434926,..,..,..,..,..,..,..,..,..,0.425,..,..,..,..,..,..,..,0.5,..,0.5,..,..,..,0.37666669999999997,..,..,..,0.5,..,..,0.618,..,..,..,0.5
BRArl1996,Brazil,BRA,Latin America & Caribbean,Upper middle income,1996,rl,9,-0.3408545,0.185324,-0.6447859,-0.0369231,51.0983647,3.1895567999999996,45.8674916,56.329237899999995,..,..,..,..,..,..,..,..,..,0.44999999999999996,..,..,..,..,0.478,..,..,0.5,..,0.5,..,..,..,0.43666669999999996,..,..,..,0.5,..,..,0.82,..,0.3058667,..,0.4375
BRBrl1996,Barbados,BRB,Latin America & Caribbean,High income,1996,rl,4,0.7767276999999999,0.2982756,0.28755569999999997,1.2658996999999999,70.33274039999999,5.133533,61.9137462,78.7517345,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,1,..,..,..,..,..,..,..,..,..,..,0.855,..,..,..,0.875
BRNrl1996,Brunei Darussalam,BRN,East Asia & Pacific,High income,1996,rl,3,1.0524394,0.355562,0.4693177,1.6355610999999999,75.0779326,6.1194723,65.0419981,85.1138672,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,1,..,..,..,..,..,..,0.6875
BTNrl1996,Bhutan,BTN,South Asia,Lower middle income,1996,rl,3,-0.2320111,0.38423219999999997,-0.8621519,0.3981297,52.9716362,6.6129063,42.126469799999995,63.816802499999994,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,0.51,..,..,..,0.6875
