ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
BGDva1996,Bangladesh,BGD,South Asia,Lower middle income,1996,va,6,-0.3178901,0.1939854,-0.6360262,0.00024599999999999996,51.285371399999995,3.3952278,45.7171978,56.853545,..,..,..,..,..,..,..,..,..,0.25,..,..,0.5877778,..,..,..,..,..,..,0.7,..,..,..,..,..,..,..,0.6666667,..,..,0.5297999999999999,..,..,..,0.5
BGRva1996,Bulgaria,BGR,Europe & Central Asia,High income,1996,va,6,0.2553917,0.1939854,-0.06274439999999999,0.5735277999999999,61.319229799999995,3.3952278,55.7510562,66.8874034,..,..,..,..,..,..,..,..,..,0.375,..,..,0.6453333,..,..,..,..,..,..,0.7,..,..,..,..,..,..,..,0.9166667,..,..,0.6282667,..,..,..,0.625
BHRva1996,Bahrain,BHR,Middle East & North Africa,High income,1996,va,6,-1.0912054,0.1939854,-1.4093415,-0.7730693,37.750428899999996,3.3952278,32.1822553,43.3186025,..,..,..,..,..,..,..,..,..,0.375,..,..,0.16888889999999998,..,..,..,..,..,..,0.39999999999999997,..,..,..,..,..,..,..,0.5,..,..,0.2734,..,..,..,0.5625
BHSva1996,"Bahamas, The",BHS,Latin America & Caribbean,High income,1996,va,4,1.0988862,0.2600403,0.6724201,1.5253523,76.082483,4.5513525999999995,68.61826479999999,83.5467012,..,..,..,..,..,..,..,..,..,..,..,..,0.9211111,..,..,..,..,..,..,1,..,..,..,..,..,..,..,0.8333332999999999,..,..,..,..,..,..,0.875
BIHva1996,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1996,va,4,-0.1938932,0.2168861,-0.5495864,0.1618,53.4556258,3.7960464999999997,47.2301095,59.681142099999995,..,..,..,..,..,..,..,..,..,0.625,..,..,0.3188889,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5622332999999999,..,..,..,0.4375
BLRva1996,Belarus,BLR,Europe & Central Asia,Upper middle income,1996,va,4,-0.9090817,0.24508,-1.3110129,-0.5071505,40.938046899999996,4.28951,33.9032505,47.9728433,..,..,..,..,..,..,..,..,..,..,..,..,0.155,..,..,..,..,..,..,0.09999999999999999,..,..,..,..,..,..,..,..,..,..,0.5560444,..,..,..,0.4375
BLZva1996,Belize,BLZ,Latin America & Caribbean,Upper middle income,1996,va,3,0.8526353999999999,0.3010208,0.3589613,1.3463095,71.7724811,5.2686131,63.1319556,80.4130066,..,..,..,..,..,..,..,..,..,..,..,..,0.9166667,..,..,..,..,..,..,0.8999999999999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6875
BMUva1996,Bermuda,BMU,North America,High income,1996,va,1,1.0262091,0.45889549999999996,0.2736205,1.7787977,74.8104529,8.0318132,61.6382792,87.9826265,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875
BOLva1996,Bolivia,BOL,Latin America & Caribbean,Lower middle income,1996,va,7,0.06397409999999999,0.1938256,-0.2538999,0.38184809999999997,57.968945399999996,3.3924306,52.4053592,63.5325316,..,..,..,..,..,..,..,..,..,0.25,..,..,0.7666666999999999,..,..,..,..,..,..,0.8999999999999999,..,..,..,0.21,..,..,..,0.5833332999999999,..,..,0.6571,..,..,..,0.5625
BRAva1996,Brazil,BRA,Latin America & Caribbean,Upper middle income,1996,va,8,0.2728291,0.1930084,-0.0437047,0.5893629,61.6244277,3.3781277,56.084298399999994,67.1645571,..,..,..,..,..,..,..,..,..,0.375,..,..,0.6777778,..,..,..,..,..,..,1,..,..,..,0.19999999999999998,..,..,..,0.5833332999999999,..,..,0.6841111,..,0.49269999999999997,..,0.6875
