ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
BGRcc1996,Bulgaria,BGR,Europe & Central Asia,High income,1996,cc,4,-0.19175209999999998,0.2316749,-0.5716989,0.1881947,43.9734707,4.6894551,36.2827644,51.664176999999995,..,..,..,..,..,..,..,..,..,0.125,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6666667,..,..,0.635,..,..,..,0.375
BHRcc1996,Bahrain,BHR,Middle East & North Africa,High income,1996,cc,3,0.1076835,0.2547213,-0.3100594,0.5254264,50.034506799999996,5.1559496,41.5787494,58.4902641,..,..,..,..,..,..,..,..,..,0.125,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,0.875
BHScc1996,"Bahamas, The",BHS,Latin America & Caribbean,High income,1996,cc,2,1.3435747999999998,0.3486122,0.7718508,1.9152988,75.0508432,7.0564458,63.4782721,86.6234143,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6666667,..,..,..,..,..,..,0.875
BIHcc1996,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1996,cc,3,-0.5231485,0.2525267,-0.9372923,-0.1090047,37.265499,5.1115281,28.882593,45.6484051,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.284,..,..,..,0.375
BLRcc1996,Belarus,BLR,Europe & Central Asia,Upper middle income,1996,cc,2,-0.5706325,0.3430487,-1.1332324,-0.008032599999999999,36.30435,6.9438325,24.9164647,47.6922353,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.527,..,..,..,0.25
BLZcc1996,Belize,BLZ,Latin America & Caribbean,Upper middle income,1996,cc,1,-0.041483599999999995,0.43525349999999996,-0.7552993,0.6723321,47.015135699999995,8.8101983,32.5664106,61.4638609,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5
BMUcc1996,Bermuda,BMU,North America,High income,1996,cc,1,1.3626213,0.43525349999999996,0.6488056,2.076437,75.4363736,8.8101983,60.9876484,89.8850987,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875
BOLcc1996,Bolivia,BOL,Latin America & Caribbean,Lower middle income,1996,cc,4,-0.5750128999999999,0.2316749,-0.9549597,-0.1950661,36.215683999999996,4.6894551,28.524977699999997,43.9063903,..,..,..,..,..,..,..,..,..,0.125,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.306,..,..,..,0.375
BRAcc1996,Brazil,BRA,Latin America & Caribbean,Upper middle income,1996,cc,6,0.11941439999999999,0.1996623,-0.2080318,0.4468606,50.2719582,4.0414717,43.6439446,56.899971699999995,..,..,..,..,..,..,..,..,..,0.375,..,..,..,..,0.4583333,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.49,..,0.2757,..,0.625
BRBcc1996,Barbados,BRB,Latin America & Caribbean,High income,1996,cc,2,1.4589699999999999,0.3430487,0.8963701,2.0215699,77.38661909999999,6.9438325,65.9987338,88.7745044,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9129999999999999,..,..,..,0.875
BRNcc1996,Brunei Darussalam,BRN,East Asia & Pacific,High income,1996,cc,2,0.7430806999999999,0.3486122,0.1713567,1.3148047,62.895921099999995,7.0564458,51.32335,74.4684922,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6666667,..,..,..,..,..,..,0.625
BTNcc1996,Bhutan,BTN,South Asia,Lower middle income,1996,cc,2,0.7626075,0.3430487,0.20000759999999998,1.3252074,63.2911735,6.9438325,51.9032882,74.67905879999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.836,..,..,..,0.625
BWAcc1996,Botswana,BWA,Sub-Saharan Africa,Upper middle income,1996,cc,4,0.9915488,0.2316749,0.611602,1.3714956,67.9252968,4.689455,60.234590499999996,75.61600299999999,..,..,..,..,..,..,..,..,..,0.625,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.862,..,..,..,0.75
CAFcc1996,Central African Republic,CAF,Sub-Saharan Africa,Low income,1996,cc,2,-1.2343655999999998,0.3430487,-1.7969655,-0.6717657,22.8693735,6.9438325,11.4814882,34.2572589,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27699999999999997,..,..,..,0.125
CANcc1996,Canada,CAN,North America,High income,1996,cc,6,2.1795226,0.1996623,1.8520763999999998,2.5069688,91.9717095,4.0414717,85.3436959,98.599723,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.8783333,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,0.965,..,0.876,..,0.875
CHEcc1996,Switzerland,CHE,Europe & Central Asia,High income,1996,cc,6,2.1073252,0.1996623,1.779879,2.4347714,90.5103233,4.0414717,83.8823097,97.1383369,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.87,..,..,..,..,..,..,..,..,..,..,..,..,0.8333332999999999,..,..,0.978,..,0.7958,..,1
