ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
BGRge1996,Bulgaria,BGR,Europe & Central Asia,High income,1996,ge,3,-0.6031664999999999,0.30123469999999997,-1.0971914,-0.10914159999999999,39.612497,5.8572134,30.006667,49.218327099999996,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,0.5
BHRge1996,Bahrain,BHR,Middle East & North Africa,High income,1996,ge,3,0.47262119999999996,0.30123469999999997,-0.021403699999999998,0.9666461,60.5301346,5.8572134,50.9243045,70.1359646,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,0.75
BHSge1996,"Bahamas, The",BHS,Latin America & Caribbean,High income,1996,ge,2,1.1462335,0.3587892,0.5578192,1.7346477999999999,73.62786559999999,6.9763044999999995,62.186726199999995,85.0690051,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,..,0.875
BIHge1996,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1996,ge,2,-1.3618337999999999,0.3465764,-1.9302191,-0.7934485,24.8609548,6.7388385,13.8092597,35.91265,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25
BLRge1996,Belarus,BLR,Europe & Central Asia,Upper middle income,1996,ge,1,-0.7897088,0.44396919999999995,-1.5178182999999998,-0.061599299999999996,35.9853648,8.6325462,21.8279891,50.142740499999995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.375
BLZge1996,Belize,BLZ,Latin America & Caribbean,Upper middle income,1996,ge,1,-0.2734013,0.44396919999999995,-1.0015108,0.4547082,46.0244582,8.6325462,31.8670825,60.181833899999994,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5
BMUge1996,Bermuda,BMU,North America,High income,1996,ge,1,0.7592137,0.44396919999999995,0.0311042,1.4873231999999998,66.1026449,8.6325462,51.9452692,80.26002059999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75
BOLge1996,Bolivia,BOL,Latin America & Caribbean,Lower middle income,1996,ge,4,-0.296272,0.2998489,-0.7880242,0.1954802,45.5797598,5.830267999999999,36.0181202,55.1413994,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,..,..,..,0.25,..,..,..,..,..,..,0.5
BRAge1996,Brazil,BRA,Latin America & Caribbean,Upper middle income,1996,ge,6,0.017567299999999998,0.25192929999999997,-0.39559679999999997,0.4307314,51.6820575,4.8985189,43.648486399999996,59.715628499999994,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,0.3125,..,..,..,..,..,..,..,..,0.24,..,..,..,0.75,..,..,..,..,0.4689,..,0.625
BRBge1996,Barbados,BRB,Latin America & Caribbean,High income,1996,ge,1,0.7592137,0.44396919999999995,0.0311042,1.4873231999999998,66.1026449,8.6325462,51.9452692,80.26002059999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75
BRNge1996,Brunei Darussalam,BRN,East Asia & Pacific,High income,1996,ge,2,0.6637232,0.3587892,0.0753089,1.2521375,64.2459257,6.9763044999999995,52.804786299999996,75.6870651,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,..,..,0.625
BTNge1996,Bhutan,BTN,South Asia,Lower middle income,1996,ge,1,0.2429062,0.44396919999999995,-0.4852033,0.9710156999999999,56.063551499999996,8.6325462,41.9061758,70.22092719999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.625
BWAge1996,Botswana,BWA,Sub-Saharan Africa,Upper middle income,1996,ge,3,0.2349301,0.30123469999999997,-0.2590948,0.728955,55.908464099999996,5.8572134,46.302634,65.5142941,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,0.625
CAFge1996,Central African Republic,CAF,Sub-Saharan Africa,Low income,1996,ge,1,-1.3060162,0.44396919999999995,-2.0341256999999997,-0.5779067,25.9462734,8.6325462,11.7888977,40.1036491,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25
CANge1996,Canada,CAN,North America,High income,1996,ge,5,1.7771104,0.2527495,1.3626011999999998,2.1916196,85.89464869999999,4.9144666,77.8349235,93.9543739,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.7424999999999999,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.5956332999999999,..,0.875
CHEge1996,Switzerland,CHE,Europe & Central Asia,High income,1996,ge,5,1.8360870999999999,0.2527495,1.4215779,2.2505962999999998,87.04139289999999,4.9144666,78.9816677,95.101118,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.8383333,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.5541332999999999,..,0.875
CHLge1996,Chile,CHL,Latin America & Caribbean,High income,1996,ge,6,1.002894,0.25192929999999997,0.5897298999999999,1.4160580999999999,70.8407695,4.8985189,62.8071985,78.8743406,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,0.3675,..,..,..,..,..,..,..,..,0.5,..,..,..,0.75,..,..,..,..,0.6049667,..,0.875
CHNge1996,China,CHN,East Asia & Pacific,Upper middle income,1996,ge,5,-0.31282889999999997,0.2527495,-0.7273381,0.1016803,45.2578271,4.9144666,37.1981019,53.317552299999996,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,0.42666669999999995,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,0.32126669999999996,..,0.375
CIVge1996,Côte d’Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1996,ge,3,0.2677542,0.30123469999999997,-0.2262707,0.7617790999999999,56.546696499999996,5.8572134,46.9408665,66.1525266,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,..,0.5
CMRge1996,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1996,ge,3,-0.8080335,0.30123469999999997,-1.3020584,-0.31400859999999997,35.629059,5.8572134,26.0232289,45.234888999999995,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,..,0.25
CODge1996,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1996,ge,2,-1.6444592999999998,0.3587892,-2.2328736,-1.056045,19.365579,6.9763044999999995,7.9244395,30.806718399999998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,0.125
COGge1996,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1996,ge,2,-1.307264,0.3587892,-1.8956783,-0.7188496999999999,25.9220111,6.9763044999999995,14.4808717,37.3631506,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,0.25
COLge1996,Colombia,COL,Latin America & Caribbean,Upper middle income,1996,ge,6,-0.0528413,0.25192929999999997,-0.46600539999999996,0.3603228,50.3130312,4.8985189,42.279460199999995,58.3466023,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,0.46249999999999997,..,..,..,..,..,..,..,..,0.18,..,..,..,0.75,..,..,..,..,0.37329999999999997,..,0.375
COMge1996,Comoros,COM,Sub-Saharan Africa,Lower middle income,1996,ge,1,-1.8223236999999999,0.44396919999999995,-2.5504332,-1.0942142,15.907179999999999,8.6325462,1.7498042999999999,30.0645557,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.125
CRIge1996,Costa Rica,CRI,Latin America & Caribbean,High income,1996,ge,5,-0.0237363,0.27177789999999996,-0.4694521,0.4219795,50.878949399999996,5.2844555,42.212442499999995,59.5454564,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,0.33999999999999997,..,..,..,..,..,..,..,..,0.18,..,..,..,0.5,..,..,..,..,..,..,0.625
CUBge1996,Cuba,CUB,Latin America & Caribbean,Upper middle income,1996,ge,3,-1.048861,0.30123469999999997,-1.5428859,-0.5548360999999999,30.9464042,5.8572134,21.3405742,40.552234299999995,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,0.25
CYMge1996,Cayman Islands,CYM,Latin America & Caribbean,High income,1996,ge,1,1.7918285999999999,0.44396919999999995,1.0637191,2.5199381,86.18082969999999,8.529434799999999,72.023454,100.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
CYPge1996,Cyprus,CYP,Europe & Central Asia,High income,1996,ge,3,1.1785967,0.30123469999999997,0.6845718,1.6726215999999998,74.2571364,5.8572134,64.6513063,83.86296639999999,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,..,..,0.75
CZEge1996,Czechia,CZE,Europe & Central Asia,High income,1996,ge,5,0.6593897,0.2527495,0.2448805,1.0738988999999999,64.161665,4.9144666,56.1019399,72.2213902,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,0.5416667,..,..,..,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,0.4747667,..,0.75
DEUge1996,Germany,DEU,Europe & Central Asia,High income,1996,ge,5,1.778071,0.2527495,1.3635618,2.1925802,85.91332659999999,4.9144666,77.8536015,93.9730518,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.7983332999999999,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.5389667,..,0.875
DJIge1996,Djibouti,DJI,Middle East & North Africa,Lower middle income,1996,ge,1,-1.3060162,0.44396919999999995,-2.0341256999999997,-0.5779067,25.9462734,8.6325462,11.7888977,40.1036491,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25
DMAge1996,Dominica,DMA,Latin America & Caribbean,Upper middle income,1996,ge,1,0.7592137,0.44396919999999995,0.0311042,1.4873231999999998,66.1026449,8.6325462,51.9452692,80.26002059999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75
