DataSourceCode,Organization,DataSource,indicator,econ_code,econ_name,region,income_class,production_year,wgi_dimension,value,minimum,maximum,orientation
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,MWI,Malawi,Sub-Saharan Africa,Low income,2002,rl,0.913,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,MWI,Malawi,Sub-Saharan Africa,Low income,2002,rl,0.968,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,MWI,Malawi,Sub-Saharan Africa,Low income,2002,rl,0.979,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,MWI,Malawi,Sub-Saharan Africa,Low income,2002,rl,0.641,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,MWI,Malawi,Sub-Saharan Africa,Low income,2002,rl,0.613,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2002,rl,0.882,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2002,rl,0.958,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2002,rl,0.961,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2002,rl,0.48,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,NAM,Namibia,Sub-Saharan Africa,Lower middle income,2002,rl,0.424,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2002,rl,0.867,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2002,rl,0.94,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2002,rl,0.961,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2002,rl,0.107,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2002,rl,0.22,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2002,rl,0.847,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2002,rl,0.9390000000000001,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2002,rl,0.91,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2002,rl,0.704,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,SEN,Senegal,Sub-Saharan Africa,Lower middle income,2002,rl,0.6799999999999999,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2002,rl,0.889,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2002,rl,0.963,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2002,rl,0.838,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2002,rl,0.506,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2002,rl,0.5349999999999999,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,UGA,Uganda,Sub-Saharan Africa,Low income,2002,rl,0.923,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,UGA,Uganda,Sub-Saharan Africa,Low income,2002,rl,0.968,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,UGA,Uganda,Sub-Saharan Africa,Low income,2002,rl,0.871,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,UGA,Uganda,Sub-Saharan Africa,Low income,2002,rl,0.43,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,UGA,Uganda,Sub-Saharan Africa,Low income,2002,rl,0.506,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2002,rl,0.906,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2002,rl,0.956,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2002,rl,0.804,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2002,rl,0.352,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2002,rl,0.395,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2002,rl,0.887,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2002,rl,0.974,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2002,rl,0.85,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2002,rl,0.423,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2002,rl,0.49,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2002,rl,0.772,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2002,rl,0.9380000000000001,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2002,rl,0.624,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2002,rl,0.521,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2002,rl,0.553,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,BEN,Benin,Sub-Saharan Africa,Lower middle income,2005,rl,0.869,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,BEN,Benin,Sub-Saharan Africa,Lower middle income,2005,rl,0.976,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,BEN,Benin,Sub-Saharan Africa,Lower middle income,2005,rl,0.767,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,BEN,Benin,Sub-Saharan Africa,Lower middle income,2005,rl,0.4639639639639639,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,BEN,Benin,Sub-Saharan Africa,Lower middle income,2005,rl,0.451,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2005,rl,0.895,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2005,rl,0.962,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2005,rl,0.825,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2005,rl,0.6983857264231096,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2005,rl,0.724,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2005,rl,0.946,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2005,rl,0.975,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2005,rl,0.806,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2005,rl,0.6655112651646448,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2005,rl,0.724,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2005,rl,0.89,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2005,rl,0.942,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2005,rl,0.8200000000000001,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2005,rl,0.6686903729401561,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2005,rl,0.6759999999999999,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,KEN,Kenya,Sub-Saharan Africa,Lower middle income,2005,rl,0.858,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,KEN,Kenya,Sub-Saharan Africa,Lower middle income,2005,rl,0.924,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,KEN,Kenya,Sub-Saharan Africa,Lower middle income,2005,rl,0.613,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,KEN,Kenya,Sub-Saharan Africa,Lower middle income,2005,rl,0.3822115384615384,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,KEN,Kenya,Sub-Saharan Africa,Lower middle income,2005,rl,0.594,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2005,rl,0.927,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2005,rl,0.986,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2005,rl,0.673,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2005,rl,0.6767764298093587,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2005,rl,0.777,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,MDG,Madagascar,Sub-Saharan Africa,Low income,2005,rl,0.9339999999999999,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,MDG,Madagascar,Sub-Saharan Africa,Low income,2005,rl,0.975,0,1,1
